Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
G154_Denmark	G154_Denmark-ERR1884136	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884136_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884136_2.fastq.gz	NA
G154_Denmark	G154_Denmark-ERR1884178	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884178_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884178_2.fastq.gz	NA
G154_Denmark	G154_Denmark-ERR1884179	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884179_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884179_2.fastq.gz	NA
G154_Denmark	G154_Denmark-ERR1884180	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884180_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884180_2.fastq.gz	NA
Jorgen404_Denmark	Jorgen404_Denmark-ERR1880929	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1880929_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1880929_2.fastq.gz	NA
Jorgen404_Denmark	Jorgen404_Denmark-ERR1883819	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883819_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883819_2.fastq.gz	NA
Jorgen404_Denmark	Jorgen404_Denmark-ERR1883895	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883895_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883895_2.fastq.gz	NA
Jorgen404_Denmark	Jorgen404_Denmark-ERR1884218	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884218_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884218_2.fastq.gz	NA
Jorgen427_Denmark	Jorgen427_Denmark-ERR1880930	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1880930_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1880930_2.fastq.gz	NA
Jorgen427_Denmark	Jorgen427_Denmark-ERR1883820	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883820_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883820_2.fastq.gz	NA
Jorgen427_Denmark	Jorgen427_Denmark-ERR1884219	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884219_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884219_2.fastq.gz	NA
Jorgen507_Denmark	Jorgen507_Denmark-ERR1880932	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1880932_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1880932_2.fastq.gz	NA
Jorgen507_Denmark	Jorgen507_Denmark-ERR1883823	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883823_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883823_2.fastq.gz	NA
Jorgen507_Denmark	Jorgen507_Denmark-ERR1883896	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883896_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883896_2.fastq.gz	NA
Jorgen507_Denmark	Jorgen507_Denmark-ERR1884221	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884221_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884221_2.fastq.gz	NA
Jorgen533_Denmark	Jorgen533_Denmark-ERR1884222	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884222_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884222_2.fastq.gz	NA
Jorgen533_Denmark	Jorgen533_Denmark-ERR1884223	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884223_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884223_2.fastq.gz	NA
Jorgen722_Denmark	Jorgen722_Denmark-ERR1883826	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883826_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883826_2.fastq.gz	NA
Jorgen722_Denmark	Jorgen722_Denmark-ERR1883887	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883887_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883887_2.fastq.gz	NA
Jorgen722_Denmark	Jorgen722_Denmark-ERR1883888	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883888_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1883888_2.fastq.gz	NA
Jorgen722_Denmark	Jorgen722_Denmark-ERR1884152	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884152_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884152_2.fastq.gz	NA
Jorgen722_Denmark	Jorgen722_Denmark-ERR1884226	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884226_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884226_2.fastq.gz	NA
Jorgen749_Denmark	Jorgen749_Denmark-ERR1884227	0	4	PE	NA	double	none	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884227_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884227_2.fastq.gz	NA
Jorgen749_Denmark	Jorgen749_Denmark-ERR1884228	0	4	PE	NA	double	full	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884228_1.fastq.gz	/cfs/klemming/projects/supr/archaeogenetics/pochonz/Phylogenetics/leprae/fastqs/ERR1884228_2.fastq.gz	NA
